Username,Donation Type,Amount,Date Donated
astra,Other Givings,500.00,2023-11-01
alexander,Other Givings,150.00,2023-01-16
emily,Other Givings,100.00,2023-01-16
reyna,Other Givings,120.00,2023-01-16
sofia,Other Givings,50.00,2023-01-16
ben,Other Givings,100.00,2023-02-20
astra,Other Givings,40.00,2023-02-20
sofia,Other Givings,25.00,2023-02-20
sofia,Other Givings,100.00,2023-04-08
alexander,Other Givings,300.00,2023-04-08
astra,Other Givings,100.00,2023-04-08
emily,Other Givings,230.00,2023-04-08
jason,Other Givings,90.00,2023-04-08
benjamin,Other Givings,480.00,2023-04-08
jason,Other Givings,100.00,2023-04-08
jenny,Other Givings,400.00,2023-09-13
alexander,Other Givings,300.00,2023-09-13
reyna,Other Givings,200.00,2023-09-13
emily,Other Givings,210.00,2023-09-13
ben,Other Givings,380.00,2023-09-13
alexander,Other Givings,500.00,2023-11-01
sofia,Other Givings,190.00,2023-11-01
emily,Other Givings,600.00,2023-11-01
jenny,Other Givings,560.00,2023-11-01
jason,Other Givings,240.00,2023-11-01
astra,Other Givings,470.00,2023-11-01
darren,Other Givings,410.00,2023-09-13
darren,Other Givings,535.00,2023-11-01
reyna,Other Givings,580.00,2023-11-01
